조회연도,대학명,대학코드,전형명,구분,모집단위,모집인원_최초,모집인원_이월,모집인원_총,경쟁률,충원인원,환산점수_50,환산점수_70,환산등급_50,환산등급_70
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,간호학과,17,0,17,11.41,73,956.25,946.88,2.75,3.13
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,스포츠재활복지학과,40,0,40,4.95,90,918.75,912.5,4.25,4.5
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,자유전공학부,14,0,14,0.64,0,미제출 사유 : 입시 결과 미존재,,,
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,특수교육과,25,0,25,2.04,26,903.13,896.88,4.88,5.13
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,사회복지상담학과,40,0,40,1.03,0,884.38,856.25,6,7
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,물리치료학과,4,0,4,18.25,20,956.25,956.25,2.75,2.75
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,방사선학과,44,0,44,7.61,116,931.25,928.13,3.75,3.88
2027,가야대학교[본교],2748,학생부교과(일반전형),수시,치유웰니스학과,19,0,19,1.21,4,881.25,875,6,6
2027,가야대학교[본교],2748,학생부교과(정원외_농어촌학생),수시,간호학과,7,0,7,4.86,23,921.88,918.75,4.13,4.25
2027,가야대학교[본교],2748,학생부교과(가야인재전형),수시,물리치료학과,37,0,37,6.62,113,931.25,928.13,3.75,3.88
2027,가야대학교[본교],2748,학생부교과(가야인재전형),수시,간호학과,110,0,110,6,249,940.63,937.5,3.38,3.5
2027,가야대학교[본교],2748,학생부교과(정원외_기초생활수급자),수시,물리치료학과,3,0,3,7.33,9,921.88,909.38,4.13,4.63
2027,가야대학교[본교],2748,학생부교과(정원외_기초생활수급자),수시,간호학과,6,0,6,4.5,15,912.5,909.38,4.5,4.63
2027,가야대학교[본교],2748,학생부교과(지역인재),수시,물리치료학과,10,0,10,5.7,36,928.13,915.63,3.88,4.38
2027,가야대학교[본교],2748,학생부교과(지역인재),수시,간호학과,18,0,18,7.11,69,943.75,934.38,3.25,3.63
2027,가야대학교[본교],2748,학생부교과(정원외_특성화고교졸업자),수시,간호학과,6,0,6,3.67,16,971.88,959.38,2.13,2.63
2027,가야대학교[본교],2748,학생부교과(기초생활수급자),수시,간호학과,2,0,2,7,7,900,900,5,5
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,법과대학,2,0,2,8,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,경제학과,2,0,2,13.5,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,전기공학과,2,0,2,22,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,기계공학부,4,0,4,15.25,1,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,컴퓨터공학과,4,0,4,26.75,4,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,인공지능학과,3,0,3,16.33,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,사회복지학과,2,0,2,12.5,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,관광경영학과,2,0,2,16,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,경영학과,4,0,4,32.25,6,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,건설환경공학과,2,0,2,9.5,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,건축학부,3,0,3,16,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,미디어커뮤니케이션학과,2,0,2,30,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,도시계획?조경학부,2,0,2,8.5,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,신소재공학과,2,0,2,12,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,반도체대학,5,0,5,11.4,4,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,화공생명배터리공학부,5,0,5,6.6,6,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,의료산업경영학과,2,0,2,9.5,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,패션산업학과,3,0,3,16.33,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,식품영양학과,2,0,2,30.5,4,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,식품생명공학과,2,0,2,9.5,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(특성화고교),수시,간호학과,3,0,3,19,2,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(지역균형),수시,자유전공학부,321,0,321,15.88,121,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(지역균형),수시,유아교육학과,6,0,6,27,5,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(지역균형),수시,치위생학과,5,0,5,11,1,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(지역균형),수시,물리치료학과,6,0,6,21,3,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(지역균형),수시,방사선학과,6,0,6,23.17,0,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(지역균형),수시,간호학과,13,0,13,40,4,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,의료산업경영학과,7,0,7,13.43,7,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,사회복지학과,6,0,6,25.5,18,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,법과대학,17,0,17,12.82,40,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,회계세무학과,7,0,7,12.43,9,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,경제학과,8,0,8,11,13,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,전기공학과,8,0,8,15.38,13,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,기계공학부,18,0,18,11.94,34,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,화학과,7,0,7,11.14,7,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,바이오나노학과,7,0,7,18.14,21,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,생명과학과,7,0,7,28.14,9,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,컴퓨터공학과,16,0,16,7.81,19,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,도시계획?조경학부,10,0,10,19.1,12,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,AI인문대학,22,0,22,14.59,62,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,스마트팩토리학과,9,0,9,13.78,9,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,심리학과,6,0,6,11.67,7,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,관광경영학과,7,0,7,11.86,7,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,경영학과,15,0,15,14.33,43,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,건설환경공학과,7,0,7,10.57,6,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,건축학부,7,0,7,23.71,15,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,건축공학과,6,0,6,14.17,12,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,유아교육학과,6,0,6,14.17,19,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,미디어커뮤니케이션학과,5,0,5,13.6,3,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,인공지능학과,21,0,21,7.86,40,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,치위생학과,5,0,5,15.6,6,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,의예과,4,0,4,15.75,10,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,응용통계학과,7,0,7,9.71,14,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,반도체물리학과,6,0,6,11,7,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,시스템반도체학과,9,0,9,17.78,6,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,스마트보안학과,8,0,8,8.63,22,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,운동재활학과,6,0,6,41.33,9,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,금융?빅데이터학부,12,0,12,12.5,14,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,반도체대학,21,0,21,11.14,43,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,바이오로직스학과,12,0,12,12.5,22,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,스마트시티학과,8,0,8,12.75,7,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,클라우드공학과,7,0,7,21.43,6,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,화공생명배터리공학부,25,0,25,7.56,32,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,신소재공학과,7,0,7,15.71,16,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,패션산업학과,6,0,6,16.67,7,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,식품영양학과,6,0,6,15.67,10,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,식품생명공학과,7,0,7,14.29,26,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,의공학과,6,0,6,32.33,2,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,물리치료학과,6,0,6,16.83,8,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,방사선학과,6,0,6,11.17,3,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,약학과,3,0,3,13.33,10,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,간호학과,28,0,28,7.5,38,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(학생부우수자),수시,한의예과,7,0,7,19.43,10,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,사회복지학과,1,0,1,10,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,법과대학,4,0,4,6.5,9,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,경제학과,2,0,2,13.5,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,전기공학과,1,0,1,11,2,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,기계공학부,4,0,4,14,10,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,화학과,2,0,2,17.5,2,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,바이오나노학과,2,0,2,5,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,생명과학과,2,0,2,9.5,7,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,컴퓨터공학과,3,0,3,5.67,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,인공지능학과,3,0,3,4.67,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,심리학과,2,0,2,7.5,4,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,관광경영학과,2,0,2,6,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,경영학과,3,0,3,7.67,4,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,건설환경공학과,1,0,1,8,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,건축학부,2,0,2,6,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,건축공학과,2,0,2,4.5,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,미디어커뮤니케이션학과,2,0,2,7.5,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,도시계획?조경학부,2,0,2,7.5,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,신소재공학과,2,0,2,12,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,의예과,1,0,1,24,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,응용통계학과,1,0,1,9,0,미제출 사유 : 등록없음,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,반도체물리학과,2,0,2,9,4,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,운동재활학과,2,0,2,9.5,2,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,금융?빅데이터학부,3,0,3,4.33,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,반도체대학,4,0,4,4.25,0,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,바이오로직스학과,3,0,3,6.67,2,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,스마트시티학과,2,0,2,4.5,2,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,화공생명배터리공학부,4,0,4,7.25,5,미제출 사유 : 추가 안내자료 참고,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,의료산업경영학과,2,0,2,6.5,4,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,치위생학과,1,0,1,10,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,패션산업학과,2,0,2,8.5,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,식품영양학과,2,0,2,5.5,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,식품생명공학과,2,0,2,5.5,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,의공학과,2,0,2,4,1,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,물리치료학과,1,0,1,10,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,방사선학과,1,0,1,14,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,약학과,1,0,1,16,0,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,간호학과,3,0,3,9,3,미제출 사유 : 모집인원 3명 이하,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,한의예과,1,0,1,13,0,미제출 사유 : 등록없음,,,
2027,가천대학교[본교],63,학생부교과(농어촌(교과)),수시,AI인문대학,4,0,4,5.25,3,미제출 사유 : 추가 안내자료 참고,,,
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,항공교통물류전공,25,0,25,1.9,22,851.5,842.88,4.96,5.19
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,건축공학전공,15,0,15,1.8,12,830.13,812.5,5.53,6
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,수학교육과,26,0,26,2,26,914.13,902.13,3.29,3.61
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,컴퓨터교육과,20,0,20,4.1,31,894.25,886.38,3.82,4.14
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,지리교육과,15,0,15,6.7,22,934.75,928,2.74,2.92
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,역사교육과,16,0,16,9.4,25,930.63,925,2.85,3
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,영어교육과,26,0,26,2.3,32,886,875.13,4.04,4.33
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,국어교육과,20,0,20,5.9,47,914.5,901.75,3.37,3.62
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,건축학전공,26,0,26,3.4,61,870.25,866.13,4.46,4.57
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,조리외식경영학전공,30,0,30,3.8,85,829.75,810.33,5.14,5.92
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,항공정비학전공,25,0,25,5.9,64,871.38,860.5,4.43,4.72
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,미디어콘텐츠전공,15,0,15,7.1,62,869.5,857.13,4.48,4.81
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,CG디자인전공,25,0,25,2,26,856.38,829,4.83,5.67
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,호텔관광경영학전공,15,0,15,3.5,38,857.88,843.55,4.79,5.1
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,의료경영학전공,15,0,15,2.5,23,842.88,840.25,5.19,5.26
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,경영학전공,30,0,30,1.9,26,850,847.38,5.05,5.07
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,간호학과,40,0,40,5.8,64,925,925,2.9,3.04
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,치위생학과,20,0,20,8.8,63,905.88,899.5,3.52,3.68
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,의학과,9,0,9,19.8,16,997,996.25,1.08,1.1
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,트리니티자유대학,125,0,125,2.9,241,836.13,815.13,5.4,5.93
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,항공운항전공,25,0,25,4.5,65,853,845.5,4.92,5.12
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,AI소프트웨어융합학부,23,0,23,1.6,13,897.25,857.13,3.74,4.81
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,임상병리학과,15,0,15,14.6,49,928.75,925.75,2.74,2.9
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,행정학전공,14,0,14,1.8,9,872.13,872.13,4.41,4.41
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,경찰행정학전공,90,0,90,3.1,180,839.5,824.88,5.26,5.63
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,사회복지학전공,20,0,20,4.2,63,839.13,814.38,5.29,5.95
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,광고홍보학전공,15,0,15,2.3,20,863.13,850,4.65,5
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,의생명과학전공,25,0,25,1.5,13,878.13,868.75,4.25,4.34
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,실용음악전공,15,0,15,1.5,7,842.5,820.38,5.2,5.79
2027,가톨릭관동대학교[본교],72,학생부교과(일반전형),수시,작업치료학과,15,0,15,4.7,41,875.88,870.25,4.33,4.48
2027,가톨릭관동대학교[본교],72,학생부교과(운동선수출신전형),수시,스포츠재활의학전공,10,0,10,6,32,897.74,888.63,4.03,4.3
2027,가톨릭관동대학교[본교],72,학생부교과(지역기회균형전형),수시,간호학과,3,0,3,2.3,1,885.25,871.38,4.06,4.43
2027,가톨릭관동대학교[본교],72,학생부교과(지역기회균형전형),수시,의학과,2,0,2,2.5,0,961,961,2.04,2.04
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,수학교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,컴퓨터교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,지리교육과,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,역사교육과,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,영어교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,국어교육과,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,건축공학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,조리외식경영학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,항공정비학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,미디어콘텐츠전공,0,0,0,,2,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,CG디자인전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,호텔관광경영학전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,의료경영학전공,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,경영학전공,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,건축학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,행정학전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,간호학과,5,0,5,6.2,5,878.88,875.13,4.23,4.33
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,치위생학과,0,0,0,,5,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,의학과,5,0,5,12.4,4,990.25,986.5,1.26,1.36
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,트리니티자유대학,0,0,0,,3,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,AI소프트웨어융합학부,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,항공교통물류전공,0,0,0,,2,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,경찰행정학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,사회복지학전공,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,광고홍보학전공,0,0,0,,0,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,의생명과학전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,실용음악전공,0,0,0,,1,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,작업치료학과,0,0,0,,3,미제출 사유 : 등록자없음,,,
2027,가톨릭관동대학교[본교],72,학생부교과(기초생활및차상위전형),수시,임상병리학과,0,0,0,,0,"미제출 사유 : 통합모집, 추가 안내자료 참고",,,
2027,가톨릭관동대학교[본교],72,학생부교과(지역인재전형),수시,건축공학전공,5,0,5,2.2,5,831.63,828.25,4.35,4.98
2027,가톨릭관동대학교[본교],72,학생부교과(지역인재전형),수시,수학교육과,5,0,5,3,10,902.13,897.63,3.61,3.73
